ANO_ESCOLAR	RBD	NOMBRE_ESTA	TIPO_DEPENDENCIA	RURAL_ESTAB	CP_REGION	NOM_REGION	COD_COMUNA	NOM_COMUNA	TOTAL_MATRICULA	TOTAL_DOCENTES	TOTAL_ASISTENTES
2013	14946	LICEO TEC. PROFESIONAL DE ADULTOS DE LIMACHE 	3	0	5	DE VALPARAÍSO                                     	5802	LIMACHE                                           	79	5	0
2013	14947	ESC.ESP.DE TRASTORNOS DE LENGUAJE NAHUEL     	3	0	5	DE VALPARAÍSO                                     	5801	QUILPUÉ                                           	104	5	7
2013	14948	ESC.ESP. DE LENGUAJE SAN BENITO              	3	0	5	DE VALPARAÍSO                                     	5601	SAN ANTONIO                                       	33	2	3
2013	14950	JARDIN INFANTIL Y ESC. ESPECIAL DE LENG. SEMILLITA	3	0	5	DE VALPARAÍSO                                     	5603	CARTAGENA                                         	12	3	4
2013	14951	ESCUELA DE PARVULOS SERPENTINA               	3	0	5	DE VALPARAÍSO                                     	5401	LA LIGUA                                          	21	2	1
2013	14953	COLEGIO PEUMAYÉN	3	0	5	DE VALPARAÍSO                                     	5603	CARTAGENA                                         	248	21	13
2013	14954	ESCUELA ESPECIAL DE LENGUAJE NUBECITAS	3	0	5	DE VALPARAÍSO                                     	5109	VIÑA DEL MAR                                      	137	7	9
2013	14955	ESCUELA ESPECIAL DE LENGUAJE MI RESOL	3	0	5	DE VALPARAÍSO                                     	5501	QUILLOTA                                          	60	3	5
2013	15501	COLEGIO PARTICULAR LUCILA GODOY ALCAYAGA	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6310	SANTA CRUZ                                        	588	23	15
2013	15502	INSTITUTO MONSENOR LECAROS	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6104	COLTAUCO                                          	508	23	5
2013	15503	ESCUELA DUENDE MELODIA	1	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	354	15	10
2013	15507	COLEGIO JEAN PIAGET	4	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6201	PICHILEMU                                         	0	0	0
2013	15510	COLEGIO QUIMAHUE	4	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6101	RANCAGUA                                          	558	45	8
2013	15515	COLEGIO PARTICULAR SUBV. CHILDREN SCHOOL	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6106	GRANEROS                                          	293	16	9
2013	15518	JARDIN INFANTIL TOPO GIGIO	4	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6301	SAN FERNANDO                                      	12	1	3
2013	14952	COLEGIO ALTOMONTE	4	0	5	DE VALPARAÍSO                                     	5804	VILLA ALEMANA                                     	376	31	15
2013	15522	CHARLY SCHOOL	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6201	PICHILEMU                                         	283	23	12
2013	15524	COLEGIO SANTA CRUZ DE UNCO	4	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6310	SANTA CRUZ                                        	305	27	5
2013	15526	ESCUELA MUNICIPAL AMERICA	2	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6204	MARCHIHUE                                         	319	26	26
2013	15531	JARDIN INFANTIL MUNDO FELIZ	3	0	6	DEL LIBERTADOR BERNARDO OHIGGINS                  	6117	SAN VICENTE                                       	105	4	4
